"","year","month","date_concat","property_id","utility_acct_number","user_id","ParticipantID","payment_type","kwh_allocated","solar_farm_name","HH Income","leave_reason","default_dummy","churn_dummy"
"22386",2020,5,"2020_5",491,"21000792297",470,65,"ach",2744.03,"Frog Hollow (CHGE)","not in list","0",0,0
"22387",2020,5,"2020_5",1101,"21003654700",1133,393,"card",5450.46,"Frog Hollow (CHGE)","not in list","0",0,0
"22388",2020,5,"2020_5",1101,"21003654700",1133,393,"card",5450.46,"Frog Hollow (CHGE)","not in list","0",0,0
"22389",2020,5,"2020_5",770,"7076773000",729,161,"card",5439.26,"Howell (O&R)","No Data","0",0,0
"22390",2020,5,"2020_5",1001,"21001129614",1007,323,"card",3345.46,"Frog Hollow (CHGE)","not in list","0",0,0
"22391",2020,5,"2020_5",1001,"21001129614",1007,323,"card",3345.46,"Frog Hollow (CHGE)","not in list","0",0,0
"22392",2020,5,"2020_5",1001,"21001129614",1007,323,"card",3345.46,"Frog Hollow (CHGE)","not in list","0",0,0
"22393",2020,5,"2020_5",780,"21003820871",739,170,"card",8833.51,"Frog Hollow (CHGE)","not in list","0",0,0
"22394",2020,5,"2020_5",780,"21003820871",739,170,"card",8833.51,"Frog Hollow (CHGE)","not in list","0",0,0
"22395",2020,5,"2020_5",774,"21004032021",733,165,"ach",9096.63,"Frog Hollow (CHGE)","not in list","0",0,0
"22396",2020,5,"2020_5",733,"9814159002",692,136,"card",5180.25,"Howell (O&R)",">=$50,000","0",0,0
"22397",2020,5,"2020_5",51,"4375170044",58,13,"ach",1739.08,"Howell (O&R)",">=$50,000","0",0,0
"22398",2020,5,"2020_5",713,"8055401055",671,122,"card",8954.44,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22399",2020,5,"2020_5",713,"8055401055",671,122,"card",8954.44,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22400",2020,5,"2020_5",1540,"4041265010",1689,596,"ach",22904.1,"Howell (O&R)","not in list","0",0,0
"22401",2020,6,"2020_6",1228,"21003582695",1283,482,"ach",9660.47,"Frog Hollow (CHGE)","not in list","0",0,0
"22402",2020,5,"2020_5",930,"3693674059",924,271,"ach",12765.6,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22403",2020,5,"2020_5",930,"3693674059",924,271,"card",12765.6,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22404",2020,5,"2020_5",930,"3693674059",924,271,"card",12765.6,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22405",2020,5,"2020_5",930,"3693674059",924,271,"ach",12765.6,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22406",2020,5,"2020_5",930,"3693674059",924,271,"card",12765.6,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
"22407",2020,5,"2020_5",930,"3693674059",924,271,"card",12765.6,"Howell (O&R)",">=$50,000","Moving out of service territory",0,1
